"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
9687-2025,"08/01/2025 (UTC+01)","Belgium – Research and development services and related consultancy services – Preparatory Action - Support Service for citizens led renovation projects","European Commission, DG ENER - Energy",Open,,"EC-ENER/2024/OP/0038 - ENER/B3/2023-514 & 2024-446",,LOT-0001,,"ALTER ALSACE ENERGIES---ENERGY CITIES/ENERGIE-CITES ASSOCIATION---CITY OF DUBLIN ENERGY MANAGEMENT AGENCY LIMITED---AUVERGNE-RHONE-ALPES ENERGIE ENVIRONNEMENT---AGENZIA PER L'ENERGIA E LO SVILUPPO SOSTENIBILE ASSOCIAZIONE---FEDERATION EUROPEENNE DES AGENCES ET DES REGIONS POUR L'ENERGIE ET L'ENVIRONNEMENT---FUNDACIO DE LA COMUNITAT VALENCIANA VALENCIA CLIMA I ENERGIA---REGIONALNA ENERGETSKO-KLIMATSKA AGENCIJA SJEVEROZAPADNE HRVATSKE",," "," ",
12643-2025,"09/01/2025 (UTC+01)","Belgium – Environmental services – Capacity building in pollinator taxonomy","European Commission, DG ENV - Environment",Open,,"090201/2024/927784/SER/ENV.D2",,LOT-0003,,"UK CENTRE FOR ECOLOGY & HYDROLOGY",," "," ",
12706-2025,"09/01/2025 (UTC+01)","Luxembourg – Statistical services – Support to the adoption of SDMX 3.0","European Commission, DG ESTAT - Eurostat",Open,,2023.0406,,LOT-0001,,"HMS Analytical Software GmbH",," "," ",
13655-2025,"09/01/2025 (UTC+01)","Belgium – Environmental services – Capacity building in pollinator taxonomy","European Commission, DG ENV - Environment",Open,,"090201/2024/927644/SER/ENV.D2",,LOT-0001,,"UNIVERSITE DE MONS",," "," ",
14237-2025,"09/01/2025 (UTC+01)","Belgium – Environmental services – Capacity building in pollinator taxonomy","European Commission, DG ENV - Environment",Open,,"090201/2024/927759/SER/ENV.D2",,LOT-0002,,"HELSINGIN YLIOPISTO---UNIVERSIDAD DE ALICANTE---European Invertebrate Survey - Nederland---UNIVERSITE DE MONS---University of Novi Sad Faculty of Sciences",," "," ",
14261-2025,"09/01/2025 (UTC+01)","Cabo Verde – Business and management consultancy and related services – Technical Cooperation Platform for an inclusive Green Growth TEI","European Commission, INTPA - International Partnerships",Restricted,,"NDICI AFRICA/2024/461850",,LOT-0001,,"CESO CI INTERNACIONAL SA---PDConsult---GOPA WORLDWIDE CONSULTANTS GMBH",," "," ",
14663-2025,"10/01/2025 (UTC+01)","Belgium – Preservation services of historical sites and buildings – Establishment of a secretariat to develop and support the operations of the European Network of Places where the Holocaust happened","European Commission, DG JUST - Justice and Consumers",Open,,"JUST/2023/PR/REM/RIGH/0041",,LOT-0001,,"FESTIVALT---GOPA PARTNERS IN ACTION FOR CHANGE AND ENGAGEMENT---GOPA COM.---FUNDACJA URBAN MEMORY---FUNDACJA ZAPOMNIANE",," "," ",
14827-2025,"10/01/2025 (UTC+01)","Belgium – Business services: law, marketing, consulting, recruitment, printing and security – Study in support of an ex-post evaluation of the Agreement between the European Union and Japan for an Economic Partnership","European Commission, DG TRADE - Trade",Open,,"EC-TRADE/2024/OP/0003 - 2024/B1/B01",,LOT-0001,,"TRADE IMPACT BV---Stiftelsen European Institute of Japanese Studies",," "," ",
16064-2025,"10/01/2025 (UTC+01)","Belgium – Environmental services – Pollinators typical of habitats protected under the Habitats Directive","European Commission, DG ENV - Environment",Open,,"090201/2024/928516/ETU/ENV.D2",,LOT-0001,,"UNIVERSITA DEGLI STUDI DI PADOVA",," "," ",
16500-2025,"10/01/2025 (UTC+01)","Belgium – Environmental services – Buzzing schools: engaging youth on pollinator conservation through learning ecosystems","European Commission, DG ENV - Environment",Open,,"09200100P092302/2024/ 928541/SER/ENV.D2",,LOT-0001,,"EUN PARTNERSHIP AISBL---Poppins & Wayne BV",," "," ",
17293-2025,"10/01/2025 (UTC+01)","Belgium – Environmental services – Development of a methodology or methodologies for setting one or several global boundaries for chemicals","European Commission, DG ENV - Environment",Open,,"090202/2024/929390/ETU/ENV.B2",,LOT-0001,,"WSP E&IS GMBH",," "," ",
17720-2025,"10/01/2025 (UTC+01)","Belgium – Environmental services – Assistance to the Member States for the implementation of EU nature conservation policy and legislation, including the Nature Restoration Regulation","European Commission, DG ENV - Environment",Open,,"090201/2024/928438/SER/ENV.D3",,LOT-0001,,"ELMEN EWIV",," "," ",
18428-2025,"13/01/2025 (UTC+01)","Belgium – Business and management consultancy and related services – Support to civil society advisory bodies (Domestic Advisory Groups, or DAGs) in trade agreements","European Commission, DG TRADE - Trade",Open,,"EC-TRADE/2024/OP/0004 - 2024/R3/R11",,LOT-0001,,"EMERGING MARKETS INTERNATIONAL---GOPA COM.",," "," ",
20070-2025,"13/01/2025 (UTC+01)","Italy – Repair and maintenance services – Accordo Quadro per attività di manutenzione e realizzazione di opere civili ed infrastrutturali nelle aree nucleari del JRC Ispra","Commissione europea, Centro comune di ricerca (JRC)",Open,yes,"947646 - IRP - 2024",,LOT-0001,,"M.P.M. COSTRUZIONI EDILI SRL","10 564,00",,,EUR
20262-2025,"13/01/2025 (UTC+01)","Belgium – Education and training services – INNOVATIVE AND ENTREPRENEURIAL HIGHER EDUCATION INSTITUTIONS: FURTHER DEVELOPMENT OF HEINNOVATE","European Commission, DG EAC - Education, Youth, Sport and Culture",Open,,EAC-2024-0556,,LOT-0001,,"PPMI Group---LOW ASSOCIATES BRUSSELS---Touch4IT s.r.o.---CHE GEMEINNUTZIGES CENTRUM FUR HOCHSCHULENTWICKLUNG GMBH",," "," ",
20413-2025,"13/01/2025 (UTC+01)","Belgium – Environmental services – CITES - Scientific & Technical Support Services","European Commission, DG ENV - Environment","Negotiated without prior call for competition",,"090201/2024/927065/SER/ENV.F3",,LOT-0001,,"WCMC LBG",," "," ",
20861-2025,"13/01/2025 (UTC+01)","Belgium – Research and development services and related consultancy services – Monitoring, reporting and verification system for non CO2 effects in aviation, stemming from the revision of the ETS Directive further steps","European Commission, DG CLIMA - Climate Action","Negotiated without prior call for competition",,"090203/2024/930689/SER/CLIMA.B.4",,LOT-0001,,"TO70 BV",," "," ",
21269-2025,"13/01/2025 (UTC+01)","Italy – Ground-stabilisation work – Procedura aperta sotto soglia per l’appalto dei lavori di realizzazione di una palificata per la messa in sicurezza dell’abitato di Ricasoli versante Nord nel Comune di Montevarchi C.U.P. E77H21014060002 CUI L00177290517202400007","COMUNE DI MONTEVARCHI - 3° SETTORE LAVORI PUBBLICI - AMBIENTE",Open,no,"Procedura aperta sotto soglia per l’appalto dei lavori di realizzazione di una palificata per la messa in sicurezza dell’abitato di Ricasoli versante Nord nel Comune di Montevarchi C.U.P. E77H21014060002 CUI L00177290517202400007",,LOT-0001,,"TECNODRILL S.R.L.",," "," ",
21933-2025,"13/01/2025 (UTC+01)","Belgium – Environmental services – Support for modelling better integrated biodiversity-mitigation-adaptation policies and measures","European Commission, DG ENV - Environment",Open,,"090201/2024/930932/SER/ENV.D2",,LOT-0001,,"INTERNATIONALES INSTITUT FUER ANGEWANDTE SYSTEMANALYSE---ECORYS BRUSSELS NV---EUROPEAN CENTER FOR AGRICULTURAL, REGIONAL AND ENVIRONMENTAL POLICY RESEARCH, EUROCARE",," "," ",
22001-2025,"14/01/2025 (UTC+01)","Belgium – IT services: consulting, software development, Internet and support – CLOUD III Competition 1","European Commission, DG DIGIT - Digital Services","Other multiple stage procedure",,T89597,,LOT-0001,,"AMAZON WEB SERVICES EMEA SARL",," "," ",
24411-2025,"14/01/2025 (UTC+01)","Fiji – Civil engineering consultancy services – Update of feasibility study for Qaliwana reservoir","European Commission, INTPA - International Partnerships","Negotiated without prior call for competition",,462354,,LOT-0001,,"STUDIO ING G PIETRANGELI SRL",," "," ",
24688-2025,"14/01/2025 (UTC+01)","Poland – Other community, social and personal services – Social media support services for the EC Representation in Poland","European Commission, DG COMM - Communication",Open,,"EC-COMM/WAW/2024/OP/0221 Lot 1",,LOT-0001,,"Paulina Nowakowska Planthe Studio",," "," ",
24825-2025,"14/01/2025 (UTC+01)","Poland – Other community, social and personal services – Social media support services for the EC Representation in Poland","European Commission, DG COMM - Communication",Open,,"EC-COMM/WAW/2024/OP/0221 Lot 2",,LOT-0002,,"Krzysztof Jarzab Social Media",," "," ",
26452-2025,"15/01/2025 (UTC+01)","Belgium – Vaccines for veterinary medicine – Purchase, storage and delivery of live attenuated vaccine against Peste des Petits Ruminants","European Commission, DG SANTE - Health and Food Safety",Open,,"EC-SANTE/2024/OP/0030 - EU PPR VACCINE BANK",,LOT-0001,,"Jordan Bio-Industries Center-JOVAC",," "," ",
26880-2025,"15/01/2025 (UTC+01)","Spain, Belgium – Electricity – Suministro de electricidad para el campus de la EUIPO (Alicante), la RECE (Madrid y Barcelona), y EU-OSHA (Bilbao)","European Union Intellectual Property Office, EC - European Commission, European Agency for Safety and Health at Work (EU-OSHA)",Open,,1120240019,,LOT-0001,,"IBERDROLA CLIENTES SOCIEDAD ANONIMA",," "," ",
27414-2025,"15/01/2025 (UTC+01)","Belgium – Supply services of personnel including temporary staff – Provision of interim staff services for DG REFORM in Athens and Bucharest","European Commission, DG REFORM - Structural Reform Support",Open,,,,LOT-0002,,"Not Awarded",," "," ",
27962-2025,"15/01/2025 (UTC+01)","Spain – Research and development services and related consultancy services – Survey on growers and citizens’ preferences on pest management for Xylella Fastidiosa","European Commission, DG JRC - Joint Research Centre",Open,,300108003,,LOT-0001,,"VVA MARKET RESEARCH SRL---FUNDACION DE INVESTIGACION DE LA UNIVERSIDAD DE SEVILLA---UNIVERSITA POLITECNICA DELLE MARCHE",," "," ",
28327-2025,"15/01/2025 (UTC+01)","Luxembourg – Statistical services – TECHNICAL ASSISTANCE TO GEORGIA, MOLDOVA AND UKRAINE FOR OFFICIAL STATISTICS","European Commission, DG ESTAT - Eurostat",Open,,2023.0395,,LOT-0001,,"GOPA WORLDWIDE CONSULTANTS GMBH",," "," ",
29002-2025,"15/01/2025 (UTC+01)","Belgium – Environmental services – Grassland Butterfly Indicator and European Butterfly Monitoring Scheme update (2021-2026)","European Commission, DG ENV - Environment","Negotiated without prior call for competition",,"090201/2024/929792/SER/ENV.D2",,LOT-0001,,"De Vlinderstichting DVS",," "," ",
29194-2025,"15/01/2025 (UTC+01)","Spain – Survey services – Analysis on Impacts of Algorithmic Management and Artificial Intelligence in the Workplace (AIM-WORK).","European Commission, DG JRC - Joint Research Centre",Open,,"946557 – 2024 BE",,LOT-0001,,"IPSOS NV",," "," ",
30882-2025,"16/01/2025 (UTC+01)","Belgium – Advertising and marketing services – Addendum 2 - Extension of services for the Regional Strategic Communication Programme for the Western Balkans via Negotiated Procedure","European Commission, NEAR - Neighbourhood and Enlargement Negotiations","Negotiated without prior call for competition",,"IPA III/2023/452-476",,LOT-0001,,"WEGLOBAL SRL",," "," ",
31267-2025,"16/01/2025 (UTC+01)","Belgium – Architectural, construction, engineering and inspection services – Technical assistance for Resilient Road Asset Management (RRAM) in Africa, SSATP pillar 4","European Commission, INTPA - International Partnerships",Restricted,,"NDICI-AFRICA 2024/461-125",,LOT-0001,,"TECNICA Y PROYECTOS SA---AGRER S.A.-N.V.---RAUROS ZMCOM S.L.U",," "," ",
31776-2025,"16/01/2025 (UTC+01)","Belgium – Museum-exhibition services – Europa Experience Floor Staff - Croatia","European Parliament, COMM - Directorate-General for Communication, EC - European Commission",Open,,"COMM/LO-HR_ZAG/FWC/2024/1",,LOT-0001,,"CIVITTA EESTI AS---Smart Group Recruitment d.o.o.",," "," ",
32046-2025,"16/01/2025 (UTC+01)","Kenya – Technical assistance services – INVITATION TO TENDER FOR AMENDMENT OF CONTRACT Support to EU-Somali Dialogue on Investments and Trade: Contract no. NDICI AFRICA/2023/447-521","European Commission, INTPA - International Partnerships","Negotiated without prior call for competition",,"NDICI AFRICA/2023/447-521",,LOT-0001,,"COWATER INTERNATIONAL",," "," ",
32126-2025,"16/01/2025 (UTC+01)","Montenegro – Other community, social and personal services – EU 4 Public Finance Management (PFM) in Montenegro","European Commission, NEAR - Neighbourhood and Enlargement Negotiations",Restricted,,"IPA III/2024/458-903",,LOT-0001,,"GOPA WORLDWIDE CONSULTANTS GMBH---GOPA PARTNERS IN ACTION FOR CHANGE AND ENGAGEMENT",," "," ",
33672-2025,"17/01/2025 (UTC+01)","Thailand – Public relations consultancy services – Policy Dialogue and Public Diplomacy Facility for Australia, Hong Kong/Macao, New Zealand, and Singapore","European Commission, FPI - Service for Foreign Policy Instruments",Restricted,,"NDICI ASIA FPI/2024/ 460-234",,LOT-0003,,"STANTEC---NZIIA ~ NEW ZEALAND INSTITUTE OF INTERNATIONAL AFFAIRS CHARITABLE TRUST",," "," ",
34319-2025,"17/01/2025 (UTC+01)","Belgium – Business services: law, marketing, consulting, recruitment, printing and security – International Urban and Regional Cooperation Latin America and The Caribbean (2023CE160AT230)","European Commission, DG REGIO - Regional and Urban Policy",Open,,2023CE160AT230,,LOT-0001,,"ANTEVERTI CONSULTING SL---GFA CONSULTING GROUP GMBH---ASSOCIATION EUROPEENNE DES AGENCESDE DEVELOPPEMENT---SOCIEDADE PORTUGUESA DE INOVACAO CONSULTADORIA EMPRESARIAL E FOMENTO DA INOVACAO SA---EU Consulta GmbH",," "," ",
39650-2025,"20/01/2025 (UTC+01)","Belgium, Luxembourg, Latvia, Sweden, Finland, Denmark, Italy, France, Hungary, Greece, Spain, Germany, Netherlands, Portugal – Advertising and marketing services – Mixed Multiple Framework Contract for Thematic Communication Services","European Commission, DG COMM - Communication, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), Agence Exécutive du Conseil Européen de la Recherche, European Climate, Infrastructure and Environment Executive Agency (CINEA), European Innovation Council and SMEs Executive Agency (EISMEA), Health and Digital Executive Agency (HaDEA), Research Executive Agency (REA), Agency for Support for BEREC (BEREC Office), Clean Aviation Joint Undertaking, Clean Hydrogen Joint Undertaking, Europe's Rail Joint Undertaking, European Centre for Disease Prevention and Control, European Chemicals Agency, European Environment Agency (EEA), European Food Safety Authority, European Investment Bank, European Public Prosecutor’s Office, European Union Agency for Railways, European Union Agency for Law Enforcement Training, European Union Agency for Cybersecurity (ENISA), F4E - Fusion for Energy Joint Undertaking, Single Resolution Board (SRB), European Anti-Money Laundering Agency, European Education and Culture Executive Agency, European Medicines Agency, European Economic and Social Committee, Council of the European Union, European Centre for the Development of Vocational Training, European Union Drugs Agency, European Ombudsman, European Union Agency for Law Enforcement Cooperation (EUROPOL)",Open,"no, no, no","GOPA - contract",,LOT-0002,,"GOPA Com.",," "," ",
39650-2025,"20/01/2025 (UTC+01)","Belgium, Luxembourg, Latvia, Sweden, Finland, Denmark, Italy, France, Hungary, Greece, Spain, Germany, Netherlands, Portugal – Advertising and marketing services – Mixed Multiple Framework Contract for Thematic Communication Services","European Commission, DG COMM - Communication, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), Agence Exécutive du Conseil Européen de la Recherche, European Climate, Infrastructure and Environment Executive Agency (CINEA), European Innovation Council and SMEs Executive Agency (EISMEA), Health and Digital Executive Agency (HaDEA), Research Executive Agency (REA), Agency for Support for BEREC (BEREC Office), Clean Aviation Joint Undertaking, Clean Hydrogen Joint Undertaking, Europe's Rail Joint Undertaking, European Centre for Disease Prevention and Control, European Chemicals Agency, European Environment Agency (EEA), European Food Safety Authority, European Investment Bank, European Public Prosecutor’s Office, European Union Agency for Railways, European Union Agency for Law Enforcement Training, European Union Agency for Cybersecurity (ENISA), F4E - Fusion for Energy Joint Undertaking, Single Resolution Board (SRB), European Anti-Money Laundering Agency, European Education and Culture Executive Agency, European Medicines Agency, European Economic and Social Committee, Council of the European Union, European Centre for the Development of Vocational Training, European Union Drugs Agency, European Ombudsman, European Union Agency for Law Enforcement Cooperation (EUROPOL)",Open,"no, no, no","Ecorys - contract",,LOT-0002,,"EUROPEAN SERVICE NETWORK SA---ICF NEXT S.A.---ECORYS EUROPE EEIG - GEIE",," "," ",
39650-2025,"20/01/2025 (UTC+01)","Belgium, Luxembourg, Latvia, Sweden, Finland, Denmark, Italy, France, Hungary, Greece, Spain, Germany, Netherlands, Portugal – Advertising and marketing services – Mixed Multiple Framework Contract for Thematic Communication Services","European Commission, DG COMM - Communication, Court of Justice of the European Union, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), Agence Exécutive du Conseil Européen de la Recherche, European Climate, Infrastructure and Environment Executive Agency (CINEA), European Innovation Council and SMEs Executive Agency (EISMEA), Health and Digital Executive Agency (HaDEA), Research Executive Agency (REA), Agency for Support for BEREC (BEREC Office), Clean Aviation Joint Undertaking, Clean Hydrogen Joint Undertaking, Europe's Rail Joint Undertaking, European Centre for Disease Prevention and Control, European Chemicals Agency, European Environment Agency (EEA), European Food Safety Authority, European Investment Bank, European Public Prosecutor’s Office, European Union Agency for Railways, European Union Agency for Law Enforcement Training, European Union Agency for Cybersecurity (ENISA), F4E - Fusion for Energy Joint Undertaking, Single Resolution Board (SRB), European Anti-Money Laundering Agency, European Education and Culture Executive Agency, European Medicines Agency, European Economic and Social Committee, Council of the European Union, European Centre for the Development of Vocational Training, European Union Drugs Agency, European Ombudsman, European Union Agency for Law Enforcement Cooperation (EUROPOL)",Open,"no, no, no","Resonate - contract",,LOT-0002,,"VO EUROPE---NEXT SPA---STANTEC",," "," ",
39669-2025,"20/01/2025 (UTC+01)","Belgium – Financial management consultancy services – GUIDANCE BUDGÉTAIRE À BRUXELLES","Commission européenne, DG HR - Human Resources and Security","Negotiated without prior call for competition",,EC-HR/2024/NP/0317,,LOT-0001,,LEGILE,," "," ",
40073-2025,"21/01/2025 (UTC+01)","Belgium, Netherlands, Austria, Estonia – Evaluation consultancy services – Services in support of the Justice and Consumers policy areas related to ex-post evaluations, ex-ante impact assessments, other policy support services including behavioral and legal analyses including compliance assessments.","European Commission, DG JUST - Justice and Consumers, European Innovation Council and SMEs Executive Agency (EISMEA), Eurojust, European Union Agency for Fundamental Rights, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Open,,"CIVIC CONSULTING GMBH",,LOT-0001,,"CIVIC CONSULTING GMBH",," "," ",
40073-2025,"21/01/2025 (UTC+01)","Belgium, Netherlands, Austria, Estonia – Evaluation consultancy services – Services in support of the Justice and Consumers policy areas related to ex-post evaluations, ex-ante impact assessments, other policy support services including behavioral and legal analyses including compliance assessments.","European Commission, DG JUST - Justice and Consumers, European Innovation Council and SMEs Executive Agency (EISMEA), Eurojust, European Union Agency for Fundamental Rights, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Open,,"VERIAN GROUP BELGIUM SA",,LOT-0001,,"VERIAN GROUP BELGIUM SA",," "," ",
40073-2025,"21/01/2025 (UTC+01)","Belgium, Netherlands, Austria, Estonia – Evaluation consultancy services – Services in support of the Justice and Consumers policy areas related to ex-post evaluations, ex-ante impact assessments, other policy support services including behavioral and legal analyses including compliance assessments.","European Commission, DG JUST - Justice and Consumers, European Innovation Council and SMEs Executive Agency (EISMEA), Eurojust, European Union Agency for Fundamental Rights, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Open,,"ICF SA",,LOT-0001,,"ICF SA",," "," ",
40073-2025,"21/01/2025 (UTC+01)","Belgium, Netherlands, Austria, Estonia – Evaluation consultancy services – Services in support of the Justice and Consumers policy areas related to ex-post evaluations, ex-ante impact assessments, other policy support services including behavioral and legal analyses including compliance assessments.","European Commission, DG JUST - Justice and Consumers, European Innovation Council and SMEs Executive Agency (EISMEA), Eurojust, European Union Agency for Fundamental Rights, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Open,,"PRICEWATERHOUSECOOPERS EU SERVICES EESV",,LOT-0001,,"PRICEWATERHOUSECOOPERS EU SERVICES EESV",," "," ",
40073-2025,"21/01/2025 (UTC+01)","Belgium, Netherlands, Austria, Estonia – Evaluation consultancy services – Services in support of the Justice and Consumers policy areas related to ex-post evaluations, ex-ante impact assessments, other policy support services including behavioral and legal analyses including compliance assessments.","European Commission, DG JUST - Justice and Consumers, European Innovation Council and SMEs Executive Agency (EISMEA), Eurojust, European Union Agency for Fundamental Rights, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Open,,"EY ECONOMIC AND POLICY ADVISORY SERVICES SRL",,LOT-0001,,"EY ECONOMIC AND POLICY ADVISORY SERVICES SRL",," "," ",
40073-2025,"21/01/2025 (UTC+01)","Belgium, Netherlands, Austria, Estonia – Evaluation consultancy services – Services in support of the Justice and Consumers policy areas related to ex-post evaluations, ex-ante impact assessments, other policy support services including behavioral and legal analyses including compliance assessments.","European Commission, DG JUST - Justice and Consumers, European Innovation Council and SMEs Executive Agency (EISMEA), Eurojust, European Union Agency for Fundamental Rights, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Open,,"MILIEU CONSULTING",,LOT-0001,,"MILIEU CONSULTING",," "," ",
40073-2025,"21/01/2025 (UTC+01)","Belgium, Netherlands, Austria, Estonia – Evaluation consultancy services – Services in support of the Justice and Consumers policy areas related to ex-post evaluations, ex-ante impact assessments, other policy support services including behavioral and legal analyses including compliance assessments.","European Commission, DG JUST - Justice and Consumers, European Innovation Council and SMEs Executive Agency (EISMEA), Eurojust, European Union Agency for Fundamental Rights, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Open,,"DELOITTE CONSULTING BV",,LOT-0001,,"DELOITTE CONSULTING BV",," "," ",
40073-2025,"21/01/2025 (UTC+01)","Belgium, Netherlands, Austria, Estonia – Evaluation consultancy services – Services in support of the Justice and Consumers policy areas related to ex-post evaluations, ex-ante impact assessments, other policy support services including behavioral and legal analyses including compliance assessments.","European Commission, DG JUST - Justice and Consumers, European Innovation Council and SMEs Executive Agency (EISMEA), Eurojust, European Union Agency for Fundamental Rights, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA)",Open,,"TETRA TECH INTERNATIONAL DEVELOPMENT SP. Z O.O.",,LOT-0001,,"TETRA TECH INTERNATIONAL DEVELOPMENT SP. Z O.O.",," "," ",
