country,party_name,party_abbrev,role,european_family,key_ministries,eu_stance,ep_group_link
Finland,Kristillisdemokraatit,KD-FI,junior,EPP,Agriculture,pro_pragmatic,EPP
#
# --- SLOVAKIA ---
Slovakia,SMER-SD,SMER,senior,PES,PM,eurosceptic_soft,NI
Slovakia,HLAS-SD,HLAS,junior,PES,Interior,pro_pragmatic,S&D
Slovakia,Slovenska Narodna Strana,SNS,junior,Other,Defence,eurosceptic_hard,NI
#
# --- IRELAND ---
Ireland,Fianna Fail,FF,senior,ALDE,Taoiseach,pro_pragmatic,Renew
Ireland,Fine Gael,FG,junior,EPP,Foreign,pro_federalist,EPP
Ireland,Green Party,Greens-IE,junior,EGP,Environment,pro_federalist,Greens/EFA
#
# --- CROATIA ---
Croatia,Hrvatska Demokratska Zajednica,HDZ,senior,EPP,"PM,Foreign,Finance,Defence,Interior",pro_pragmatic,EPP
#
# --- LITHUANIA ---
Lithuania,Tevynes Sajunga-Lietuvos Krikscionys Demokratai,TS-LKD,senior,EPP,"PM,Foreign,Finance",pro_federalist,EPP
Lithuania,Liberalu Sajudis,LRLS,junior,ALDE,Economy,pro_federalist,Renew
Lithuania,Laisves Partija,LP,junior,ALDE,Justice,pro_federalist,Renew
#
# --- SLOVENIA ---
Slovenia,Gibanje Svoboda,GS,senior,ALDE,"PM,Foreign,Finance",pro_federalist,Renew
Slovenia,Socialni Demokrati,SD,junior,PES,Economy,pro_federalist,S&D
Slovenia,Levica,Levica,junior,EL,Culture,pro_federalist,The Left
#
# --- LATVIA ---
Latvia,Jauna Vienotiba,JV,senior,EPP,"PM,Foreign,Finance",pro_federalist,EPP
Latvia,Nacionala Apvieniba,NA,junior,ECR,Defence,eurosceptic_soft,ECR
Latvia,Zalo un Zemnieku Savieniba,ZZS,junior,ALDE,Agriculture,pro_pragmatic,Renew
#
# --- ESTONIA ---
Estonia,Eesti Reformierakond,RE,senior,ALDE,"PM,Finance",pro_federalist,Renew
Estonia,Sotsiaaldemokraatlik Erakond,SDE,junior,PES,"Foreign,Social",pro_federalist,S&D
Estonia,Eesti 200,EE200,junior,ALDE,Education,pro_federalist,Renew
#
# --- CYPRUS ---
Cyprus,Independent,Independent,senior,Other,President,pro_pragmatic,NI
#
# --- LUXEMBOURG ---
Luxembourg,Chreschtlech-Sozial Vollekspartei,CSV,senior,EPP,"PM,Finance,Foreign",pro_federalist,EPP
Luxembourg,Demokratesch Partei,DP,junior,ALDE,Justice,pro_federalist,Renew
#
# --- MALTA ---
Malta,Partit Laburista,PL,senior,PES,All ministries,pro_pragmatic,S&D
#
# --- BULGARIA ---
Bulgaria,Caretaker Government,Caretaker,senior,Other,All ministries,pro_pragmatic,NI
