country,council_config,minister_name,minister_party,ministry,notes
Portugal,JHA,Margarida Blasco,AD,Internal Administration,
Portugal,EPSCO,Ana Jorge,AD,Labour,
Portugal,EYCS,Fernando Alexandre,AD,Education,
#
# --- SWEDEN ---
Sweden,GAC,Tobias Billstrom,M,Foreign Affairs,Also FAC
Sweden,FAC,Tobias Billstrom,M,Foreign Affairs,
Sweden,ECOFIN,Elisabeth Svantesson,M,Finance,
Sweden,Competitiveness,Ebba Busch,KD,Energy,
Sweden,Environment,Romina Pourmokhtari,L,Climate,
Sweden,Agriculture,Peter Kullgren,KD,Rural Affairs,
Sweden,TTE,Andreas Carlson,KD,Infrastructure,
Sweden,JHA,Gunnar Strommer,M,Justice,
Sweden,EPSCO,Johan Pehrson,L,Employment,
Sweden,EYCS,Mats Persson,L,Education,
#
# --- HUNGARY ---
Hungary,GAC,Peter Szijjarto,Fidesz,Foreign Affairs,Also FAC - very active
Hungary,FAC,Peter Szijjarto,Fidesz,Foreign Affairs,
Hungary,ECOFIN,Mihaly Varga,Fidesz,Finance,
Hungary,Competitiveness,Marton Nagy,Fidesz,Economy,
Hungary,Environment,Attila Steiner,Fidesz,Energy,
Hungary,Agriculture,Istvan Nagy,Fidesz,Agriculture,
Hungary,TTE,Janos Lazar,Fidesz,Construction,
Hungary,JHA,Sandor Pinter,Fidesz,Interior,
Hungary,EPSCO,Laszlo Palkovics,Fidesz,Technology,
Hungary,EYCS,Balint Horvath,Fidesz,Culture,
#
# --- AUSTRIA ---
Austria,GAC,Alexander Schallenberg,OVP,Foreign Affairs,Also FAC - former Chancellor
Austria,FAC,Alexander Schallenberg,OVP,Foreign Affairs,
Austria,ECOFIN,Magnus Brunner,OVP,Finance,EC Commissioner nominee
Austria,Competitiveness,Martin Kocher,OVP,Labour and Economy,
Austria,Environment,Leonore Gewessler,Gruene,Climate,Controversial green vote
Austria,Agriculture,Norbert Totschnig,OVP,Agriculture,
Austria,TTE,Leonore Gewessler,Gruene,Environment,
Austria,JHA,Gerhard Karner,OVP,Interior,
Austria,EPSCO,Johannes Rauch,Gruene,Social Affairs,
Austria,EYCS,Martin Polaschek,OVP,Education,
#
# --- DENMARK ---
Denmark,GAC,Lars Lokke Rasmussen,M-DK,Foreign Affairs,Also FAC - former PM
Denmark,FAC,Lars Lokke Rasmussen,M-DK,Foreign Affairs,
Denmark,ECOFIN,Nicolai Wammen,S,Finance,
Denmark,Competitiveness,Morten Bodskov,S,Industry,
Denmark,Environment,Magnus Heunicke,S,Environment,
Denmark,Agriculture,Jacob Jensen,V,Food and Agriculture,
Denmark,TTE,Thomas Danielsen,V,Transport,
Denmark,JHA,Peter Hummelgaard,S,Justice,
Denmark,EPSCO,Ane Halsboe-Jorgensen,S,Employment,
Denmark,EYCS,Mattias Tesfaye,S,Education,
#
# --- FINLAND ---
Finland,GAC,Elina Valtonen,KOK,Foreign Affairs,Also FAC
Finland,FAC,Elina Valtonen,KOK,Foreign Affairs,
Finland,ECOFIN,Riikka Purra,PS,Finance,Finns Party leader
Finland,Competitiveness,Wille Rydman,PS,Economic Affairs,
Finland,Environment,Kai Mykkanen,KOK,Climate,
Finland,Agriculture,Sari Essayah,KD,Agriculture,
Finland,TTE,Lulu Ranne,PS,Transport,
Finland,JHA,Mari Rantanen,PS,Interior,
Finland,EPSCO,Arto Satonen,KOK,Social Affairs,
Finland,EYCS,Anna-Maja Henriksson,SFP,Education,
#
# --- SLOVAKIA ---
Slovakia,GAC,Juraj Blanar,SMER,Foreign Affairs,Also FAC
Slovakia,FAC,Juraj Blanar,SMER,Foreign Affairs,
Slovakia,ECOFIN,Ladislav Kamenicky,SMER,Finance,
Slovakia,Competitiveness,Denisa Sakova,HLAS,Economy,
Slovakia,Environment,Tomas Taraba,SNS,Environment,Anti-green
Slovakia,Agriculture,Richard Takac,SMER,Agriculture,
Slovakia,TTE,Jozef Razja,SMER,Transport,
Slovakia,JHA,Matus Sutaj Estok,HLAS,Interior,
Slovakia,EPSCO,Erik Tomas,HLAS,Labour,
Slovakia,EYCS,Tomas Drucker,HLAS,Education,
#
# --- IRELAND ---
Ireland,GAC,Micheal Martin,FF,Foreign Affairs,Also FAC - former Taoiseach
Ireland,FAC,Micheal Martin,FF,Foreign Affairs,
Ireland,ECOFIN,Jack Chambers,FF,Finance,
Ireland,Competitiveness,Peter Burke,FG,Enterprise,
Ireland,Environment,Eamon Ryan,Greens-IE,Environment,Green Party leader
Ireland,Agriculture,Charlie McConalogue,FF,Agriculture,
Ireland,TTE,Eamon Ryan,Greens-IE,Transport,
Ireland,JHA,Helen McEntee,FG,Justice,
Ireland,EPSCO,Heather Humphreys,FG,Social Protection,
Ireland,EYCS,Norma Foley,FF,Education,
#
# --- CROATIA ---
Croatia,GAC,Gordan Grlic Radman,HDZ,Foreign Affairs,Also FAC
Croatia,FAC,Gordan Grlic Radman,HDZ,Foreign Affairs,
Croatia,ECOFIN,Marko Primorac,HDZ,Finance,
Croatia,Competitiveness,Davor Filipovic,HDZ,Economy,
Croatia,Environment,Davor Bozinovic,HDZ,Interior,
Croatia,Agriculture,Josip Dabro,DP,Agriculture,
Croatia,TTE,Oleg Butkovic,HDZ,Sea and Transport,
Croatia,JHA,Davor Bozinovic,HDZ,Interior,
Croatia,EPSCO,Marin Piletic,HDZ,Labour,
Croatia,EYCS,Radovan Fuchs,HDZ,Education,
#
# --- LITHUANIA ---
Lithuania,GAC,Gabrielius Landsbergis,TS-LKD,Foreign Affairs,Also FAC
Lithuania,FAC,Gabrielius Landsbergis,TS-LKD,Foreign Affairs,
Lithuania,ECOFIN,Gintare Skaiste,TS-LKD,Finance,
Lithuania,Competitiveness,Ausrine Armonaite,LP,Economy,
Lithuania,Environment,Simonas Gentvilas,LRLS,Environment,
Lithuania,Agriculture,Kestutis Navickas,TS-LKD,Agriculture,
Lithuania,TTE,Marius Skuodis,TS-LKD,Transport,
Lithuania,JHA,Agne Bilotaite,TS-LKD,Interior,
Lithuania,EPSCO,Monika Navickiene,TS-LKD,Social Security,
Lithuania,EYCS,Jurgita Siugzdiniene,LRLS,Education,
#
# --- SLOVENIA ---
Slovenia,GAC,Tanja Fajon,SD,Foreign Affairs,Also FAC
Slovenia,FAC,Tanja Fajon,SD,Foreign Affairs,
Slovenia,ECOFIN,Klemen Boštjancic,GS,Finance,
Slovenia,Competitiveness,Matjaz Han,SD,Economy,
Slovenia,Environment,Bojan Kumer,GS,Environment,
Slovenia,Agriculture,Mateja Čalušic,GS,Agriculture,
Slovenia,TTE,Alenka Bratušek,GS,Infrastructure,
Slovenia,JHA,Boštjan Poklukar,GS,Interior,
Slovenia,EPSCO,Luka Mesec,Levica,Labour,
Slovenia,EYCS,Darjo Felda,GS,Education,
#
# --- LATVIA ---
Latvia,GAC,Baiba Braze,JV,Foreign Affairs,Also FAC
Latvia,FAC,Baiba Braze,JV,Foreign Affairs,
Latvia,ECOFIN,Arvils Ašeradens,JV,Finance,
Latvia,Competitiveness,Viktors Valainis,ZZS,Economy,
Latvia,Environment,Raimonds Cepuritis,NA,Climate,
Latvia,Agriculture,Armands Krauze,ZZS,Agriculture,
Latvia,TTE,Kaspars Briskens,PRO,Transport,
Latvia,JHA,Rihards Kozlovskis,JV,Interior,
Latvia,EPSCO,Uldis Augulis,ZZS,Welfare,
Latvia,EYCS,Anda Cakša,JV,Education,
#
# --- ESTONIA ---
Estonia,GAC,Margus Tsahkna,EE200,Foreign Affairs,Also FAC
Estonia,FAC,Margus Tsahkna,EE200,Foreign Affairs,
Estonia,ECOFIN,Mart Võrklaev,RE,Finance,
Estonia,Competitiveness,Tiit Riisalo,EE200,Economic Affairs,
Estonia,Environment,Yoko Alender,RE,Climate,
Estonia,Agriculture,Piret Hartman,SDE,Regional Affairs,
Estonia,TTE,Vladimir Svet,SDE,Infrastructure,
Estonia,JHA,Lauri Laanemets,SDE,Interior,
Estonia,EPSCO,Signe Riisalo,RE,Social Protection,
Estonia,EYCS,Kristina Kallas,EE200,Education,
#
# --- CYPRUS ---
Cyprus,GAC,Constantinos Kombos,Independent,Foreign Affairs,Also FAC
Cyprus,FAC,Constantinos Kombos,Independent,Foreign Affairs,
Cyprus,ECOFIN,Makis Keravnos,DISY,Finance,
Cyprus,Competitiveness,Costas Kadis,Independent,Energy,
Cyprus,Environment,Maria Panayiotou,Independent,Agriculture,
Cyprus,Agriculture,Maria Panayiotou,Independent,Agriculture,
Cyprus,TTE,Alexis Vafeades,Independent,Transport,
Cyprus,JHA,Constantinos Ioannou,Independent,Interior,
Cyprus,EPSCO,Yiannis Panayiotou,Independent,Labour,
Cyprus,EYCS,Athena Michaelidou,Independent,Education,
#
# --- LUXEMBOURG ---
Luxembourg,GAC,Xavier Bettel,DP,Foreign Affairs,Also FAC - former PM
Luxembourg,FAC,Xavier Bettel,DP,Foreign Affairs,
Luxembourg,ECOFIN,Gilles Roth,CSV,Finance,
Luxembourg,Competitiveness,Lex Delles,DP,Economy,
Luxembourg,Environment,Serge Wilmes,CSV,Environment,
Luxembourg,Agriculture,Martine Hansen,CSV,Agriculture,
Luxembourg,TTE,Yuriko Backes,DP,Mobility,
Luxembourg,JHA,Leon Gloden,CSV,Internal Security,
Luxembourg,EPSCO,Georges Mischo,CSV,Social Security,
Luxembourg,EYCS,Elisabeth Margue,CSV,Education,
#
# --- MALTA ---
Malta,GAC,Ian Borg,PL,Foreign Affairs,Also FAC
Malta,FAC,Ian Borg,PL,Foreign Affairs,
Malta,ECOFIN,Clyde Caruana,PL,Finance,
Malta,Competitiveness,Silvio Schembri,PL,Economy,
Malta,Environment,Miriam Dalli,PL,Environment,
Malta,Agriculture,Anton Refalo,PL,Agriculture,
Malta,TTE,Chris Bonett,PL,Transport,
Malta,JHA,Byron Camilleri,PL,Home Affairs,
Malta,EPSCO,Jo Etienne Abela,PL,Social Policy,
Malta,EYCS,Clifton Grima,PL,Education,
#
# --- BULGARIA (Caretaker) ---
Bulgaria,GAC,Ivan Kondov,Caretaker,Foreign Affairs,Also FAC
Bulgaria,FAC,Ivan Kondov,Caretaker,Foreign Affairs,
Bulgaria,ECOFIN,Lyudmila Petkova,Caretaker,Finance,
Bulgaria,Competitiveness,Petko Nikolov,Caretaker,Economy,
Bulgaria,Environment,Petar Dimitrov,Caretaker,Environment,
Bulgaria,Agriculture,Georgi Tahov,Caretaker,Agriculture,
Bulgaria,TTE,Kristian Krastev,Caretaker,Transport,
Bulgaria,JHA,Kalin Stoyanov,Caretaker,Interior,
Bulgaria,EPSCO,Ivaylo Ivanov,Caretaker,Labour,
Bulgaria,EYCS,Galin Tsokov,Caretaker,Education,
