country,party_name,party_abbrev,ep_group,section,num_meps,notes
Poland,Trzecia Droga,TD,EPP,,4,Poland 2050 + PSL
Poland,Lewica,Lewica,S&D,,3,Per EP API
Poland,Konfederacja splinter,Konf-PfE,PfE,,2,Per EP API - from Konfederacja
Poland,Konfederacja splinter,Konf-Renew,Renew,ALDE,1,Per EP API - from Konfederacja
Poland,Konfederacja splinter,Konf-NI,NI,,1,Per EP API - from Konfederacja
#
# --- ROMANIA (33 MEPs) ---
Romania,Partidul Social Democrat,PSD,S&D,,11,Per EP API
Romania,Partidul National Liberal,PNL,EPP,,9,Per EP API
Romania,Alianta pentru Unirea Romanilor,AUR,ECR,,6,
Romania,Uniunea Salvati Romania,USR,Renew,ALDE,3,Per EP API
Romania,Greens RO,Grn-RO,Greens/EFA,Greens,1,Per EP API
Romania,SOS Romania,SOS,NI,,2,
Romania,Partidul Miscarea Populara,PMP,EPP,,1,
#
# --- NETHERLANDS (31 MEPs) ---
Netherlands,Partij voor de Vrijheid,PVV,PfE,,6,Wilders
Netherlands,GroenLinks,GL,Greens/EFA,Greens,6,Part of GL-PvdA merged list - per EP API
Netherlands,Partij van de Arbeid,PvdA,S&D,,4,Part of GL-PvdA merged list - per EP API
Netherlands,Volkspartij voor Vrijheid en Democratie,VVD,Renew,ALDE,4,
Netherlands,Christen-Democratisch Appel,CDA,EPP,,3,
Netherlands,Democraten 66,D66,Renew,ALDE,3,
Netherlands,Forum voor Democratie,FvD,ESN,,0,Per EP API - membership changed
Netherlands,BoerBurgerBeweging,BBB,ECR,,1,Farmers party - per EP API
Netherlands,Nieuw Sociaal Contract,NSC,EPP,,3,Omtzigt - per EP API
Netherlands,Socialistische Partij,SP,The Left,,1,
#
# --- BELGIUM (22 MEPs) ---
Belgium,Nieuw-Vlaamse Alliantie,N-VA,ECR,,3,Flemish nationalist
Belgium,Vlaams Belang,VB,PfE,,3,Flemish far-right
Belgium,Mouvement Reformateur,MR,Renew,ALDE,3,Francophone liberal - per EP API
Belgium,Open Vlaamse Liberalen en Democraten,OpenVLD,Renew,ALDE,2,Flemish liberal - per EP API
Belgium,Parti Socialiste,PS-BE,S&D,,2,Francophone socialist
Belgium,Vooruit,Vooruit,S&D,,2,Flemish socialist
Belgium,Ecolo,Ecolo,Greens/EFA,Greens,1,Francophone green
Belgium,Groen,Groen,Greens/EFA,Greens,1,Flemish green
Belgium,Les Engages,LE,EPP,,1,Formerly cdH - per EP API
Belgium,Christen-Democratisch en Vlaams,CD&V,EPP,,2,Flemish christian democrat
Belgium,Partij van de Arbeid van Belgie,PVDA-PTB,The Left,,2,
#
# --- GREECE (21 MEPs) ---
Greece,Nea Dimokratia,ND,EPP,,7,Mitsotakis
Greece,SYRIZA,SYRIZA,The Left,,4,Coalition of Radical Left
Greece,PASOK - Kinima Allagis,PASOK,S&D,,3,Movement for Change
Greece,Elliniki Lysi,EL,ECR,,2,Greek Solution
Greece,Kommounistiko Komma Elladas,KKE,NI,,2,Communist Party
Greece,Niki,NIKI,NI,,1,Democratic Patriotic Movement
Greece,Plefsi Eleftherias,PE,NI,,1,Course of Freedom
Greece,Foni Logikis,FL,PfE,,1,Voice of Reason
#
# --- PORTUGAL (21 MEPs) ---
Portugal,Partido Socialista,PS,S&D,,8,
Portugal,Alianca Democratica,AD,EPP,,7,PPD/PSD + CDS-PP coalition
Portugal,Chega,CH,PfE,,2,
Portugal,Iniciativa Liberal,IL,Renew,ALDE,2,
Portugal,Bloco de Esquerda,BE,The Left,,1,
Portugal,CDU - Coligacao Democratica Unitaria,CDU,The Left,,1,PCP + PEV
#
# --- HUNGARY (21 MEPs) ---
Hungary,Fidesz - Magyar Polgari Szovetseg,Fidesz,PfE,,10,Orban
Hungary,Keresztenydemokrata Neppart,KDNP,PfE,,1,In coalition with Fidesz
Hungary,Tisza Part,Tisza,EPP,,7,Peter Magyar - new party 2024
Hungary,Demokratikus Koalicio,DK,S&D,,2,Gyurcsany
Hungary,Mi Hazank Mozgalom,MH,ESN,,1,Our Homeland Movement
#
# --- SWEDEN (21 MEPs) ---
Sweden,Moderaterna,M,EPP,,4,Moderate Party
Sweden,Kristdemokraterna,KD,EPP,,1,Christian Democrats
Sweden,Sveriges socialdemokratiska arbetareparti,S,S&D,,5,Social Democrats
Sweden,Miljopartiet de grona,MP,Greens/EFA,Greens,3,Green Party - per EP API
Sweden,Vansterpartiet,V,The Left,,2,Left Party - per EP API
Sweden,Liberalerna,L,Renew,ALDE,1,Liberals
Sweden,Sverigedemokraterna,SD,ECR,,3,Sweden Democrats - per EP API
Sweden,Centerpartiet,C,Renew,ALDE,2,Centre Party
Sweden,Feministiskt initiativ,FI,The Left,,0,Lost seats 2024
#
# --- AUSTRIA (20 MEPs) ---
Austria,Freiheitliche Partei Osterreichs,FPO,PfE,,6,Freedom Party
Austria,Osterreichische Volkspartei,OVP,EPP,,5,
Austria,Sozialdemokratische Partei Osterreichs,SPO,S&D,,5,
Austria,Die Grunen,Gruene,Greens/EFA,Greens,2,
Austria,NEOS,NEOS,Renew,ALDE,2,
#
# --- BULGARIA (17 MEPs) ---
Bulgaria,GERB-SDS,GERB,EPP,,4,Boyko Borisov - per EP API
Bulgaria,Vazrazhdane,VZR,ESN,,3,Revival
Bulgaria,Dvizhenie za Prava i Svobodi,DPS,Renew,ALDE,3,Movement for Rights and Freedoms
Bulgaria,Prodalzhavame Promyanata - Demokratichna Bulgaria,PP-DB,EPP,,2,We Continue the Change - Democratic Bulgaria - per EP API
Bulgaria,Individual NI,Ind-BG,NI,,2,Per EP API
Bulgaria,Bulgarska Sotsialisticheska Partiya,BSP,S&D,,2,
Bulgaria,Ima Takuv Narod,ITN,ECR,,1,There Is Such a People
#
# --- DENMARK (15 MEPs) ---
Denmark,Socialdemokratiet,S,S&D,,3,Social Democrats - per EP API
Denmark,Venstre,V,Renew,ALDE,3,Liberal Party
Denmark,Socialistisk Folkeparti,SF,Greens/EFA,Greens,3,Socialist People's Party - per EP API
Denmark,Det Konservative Folkeparti,KF,EPP,,1,Conservative People's Party
Denmark,Radikale Venstre,RV,Renew,ALDE,1,Social Liberals
Denmark,Liberal Alliance,LA,EPP,,1,
Denmark,Moderaterne,M,Renew,ALDE,0,Moderates - per EP API (may have left)
Denmark,Dansk Folkeparti,DF,PfE,,1,Danish People's Party
Denmark,Danmarksdemokraterne,DD,ECR,,1,Denmark Democrats
Denmark,Enhedslisten,O,The Left,,1,Red-Green Alliance
#
# --- FINLAND (15 MEPs) ---
Finland,Kansallinen Kokoomus,Kok,EPP,,4,National Coalition
Finland,Suomen Sosialidemokraattinen Puolue,SDP,S&D,,2,Social Democrats - per EP API
Finland,Perussuomalaiset,PS,ECR,,1,Finns Party - per EP API
Finland,Vasemmistoliitto,Vas,The Left,,3,Left Alliance - per EP API
Finland,Suomen Keskusta,Kesk,Renew,ALDE,2,Centre Party
Finland,Vihrea liitto,Vihr,Greens/EFA,Greens,2,Green League - per EP API
Finland,Svenska folkpartiet i Finland,RKP,Renew,ALDE,1,Swedish People's Party
#
# --- SLOVAKIA (15 MEPs) ---
Slovakia,Progresivne Slovensko,PS,Renew,ALDE,6,Progressive Slovakia - Odor
Slovakia,Smer - socialna demokracia,Smer,NI,,5,Fico - suspended from S&D
Slovakia,Hlas - socialna demokracia,Hlas,NI,,1,Pellegrini split from Smer - per EP API (NI not S&D)
Slovakia,Krestanskodemokraticke hnutie,KDH,EPP,,1,Christian Democrats
Slovakia,Republika,REP,ESN,,2,Republic Movement - Uhrik
#
# --- CZECH REPUBLIC (21 MEPs) ---
Czechia,ANO 2011,ANO,PfE,,7,Babis
Czechia,Obcanska demokraticka strana,ODS,ECR,,3,Civic Democrats - Fiala
Czechia,Starostove a nezavisli,STAN,EPP,,3,Mayors and Independents - per EP API
Czechia,Pirati,Pirati,Greens/EFA,Greens,1,Pirates
Czechia,TOP 09,TOP09,EPP,,1,
Czechia,Krestanska a demokraticka unie - Ceskoslovenska strana lidova,KDU-CSL,EPP,,1,Christian Democrats
Czechia,Motoriste,MOT,PfE,,1,Motorists - Turek - per EP API
Czechia,Prisaha,PRI,PfE,,1,Oath
Czechia,Stacilo!,STC,NI,,2,Enough! - KSCM coalition - per EP API (NI not The Left)
Czechia,Svoboda a prima demokracie,SPD,ESN,,1,Freedom and Direct Democracy - Okamura
#
# --- IRELAND (14 MEPs) ---
Ireland,Fine Gael,FG,EPP,,4,Government party
Ireland,Fianna Fail,FF,Renew,ALDE,4,Government party
Ireland,Sinn Fein,SF,The Left,,2,Republican party
Ireland,Labour Party,Lab,S&D,,1,
Ireland,Independent Ireland,II,Renew,ALDE,1,Ciaran Mullooly
Ireland,Independent,Ind-IE,The Left,,1,Luke Ming Flanagan
Ireland,Independent,Ind-IE-2,Renew,ALDE,1,Michael McNamara
#
# --- CROATIA (12 MEPs) ---
Croatia,Hrvatska demokratska zajednica,HDZ,EPP,,6,Plenkovic
Croatia,Socijaldemokratska partija Hrvatske,SDP,S&D,,4,Rivers of Justice coalition
Croatia,Domovinski pokret,DP,ECR,,1,Homeland Movement - Penava
Croatia,Mozemo!,Moz,Greens/EFA,Greens,1,We Can!
#
# --- LITHUANIA (11 MEPs) ---
Lithuania,Tevynes sajunga - Lietuvos krikscionys demokratai,TS-LKD,EPP,,3,Homeland Union - Kubilius
Lithuania,Lietuvos socialdemokratu partija,LSDP,S&D,,2,Social Democrats
Lithuania,Lietuvos valstieciu ir zaliuju sajunga,LVZS,ECR,,1,Farmers and Greens Union
Lithuania,Laisves partija,LP,Renew,ALDE,1,Freedom Party
Lithuania,Demokratu sajunga Vardan Lietuvos,DSVL,Greens/EFA,Greens,1,For Lithuania - Sinkevicius
Lithuania,Lietuvos lenku rinkimu akcija - Krikscionisku seimu sajunga,LLRA-KSS,ECR,,1,Electoral Action of Poles
Lithuania,Tautos ir teisingumo sajunga,TTS,ESN,,1,Nation and Justice - Grazulis
Lithuania,Liberalu sajudis,LS,Renew,ALDE,1,Liberals Movement
#
# --- SLOVENIA (9 MEPs) ---
Slovenia,Slovenska demokratska stranka,SDS,EPP,,4,Jansa party
Slovenia,Gibanje Svoboda,GS,Renew,ALDE,2,Freedom Movement - Golob
Slovenia,Socialni demokrati,SD,S&D,,1,Social Democrats
Slovenia,Nova Slovenija,NSi,EPP,,1,Christian Democrats
Slovenia,Vesna - zelena stranka,Vesna,Greens/EFA,Greens,1,Green party
#
# --- LATVIA (9 MEPs) ---
Latvia,Jauna Vienotiba,JV,EPP,,2,New Unity - Dombrovskis
Latvia,Nacionala apvieniba,NA,ECR,,2,National Alliance
Latvia,Latvijas attistibai,LA,Renew,ALDE,1,For Latvia's Development
Latvia,Apvienotais saraksts,AS,ECR,,1,United List
Latvia,Progresivie,PRO,Greens/EFA,Greens,1,Progressives
Latvia,Saskana,Sask,S&D,,1,Harmony - Usakovs
Latvia,Latvija pirmaja vieta,LPV,PfE,,1,Latvia First
#
# --- ESTONIA (7 MEPs) ---
Estonia,Isamaa,Isamaa,EPP,,2,Fatherland - Terras
Estonia,Sotsiaaldemokraatlik Erakond,SDE,S&D,,2,Social Democrats - Kaljurand
Estonia,Eesti Reformierakond,Reform,Renew,ALDE,1,Reform Party - Paet
Estonia,Eesti Konservatiivne Rahvaerakond,EKRE,ECR,,1,Conservative People's Party - per EP API (ECR not ESN)
Estonia,Eesti Keskerakond,Kesk,Renew,ALDE,1,Centre Party
#
# --- CYPRUS (6 MEPs) ---
Cyprus,Dimokratikos Synagermos,DISY,EPP,,2,Democratic Rally
Cyprus,Anorthotiko Komma Ergazomenou Laou,AKEL,The Left,,1,Progressive Party of Working People - per EP API
Cyprus,Individual NI,Ind-CY,NI,,1,Per EP API
Cyprus,Dimokratiko Komma,DIKO,S&D,,1,Democratic Party
Cyprus,Ethniko Laiko Metopo,ELAM,ECR,,1,National Popular Front
#
# --- LUXEMBOURG (6 MEPs) ---
Luxembourg,Chreschtlech-Sozial Vollekspartei,CSV,EPP,,2,Christian Social People's Party
Luxembourg,Demokratesch Partei,DP,Renew,ALDE,1,Democratic Party - Goerens
Luxembourg,Letzebuerger Sozialistesch Aarbechterpartei,LSAP,S&D,,1,Socialist Workers' Party - Angel
Luxembourg,dei greng,Greng,Greens/EFA,Greens,1,The Greens
Luxembourg,Alternativ Demokratesch Reformpartei,ADR,NI,,1,Alternative Democratic Reform Party - per EP API (NI not ECR)
#
# --- MALTA (6 MEPs) ---
Malta,Partit Laburista,PL,S&D,,3,Labour Party
Malta,Partit Nazzjonalista,PN,EPP,,3,Nationalist Party - includes EP President Metsola
#
# --- NI INDIVIDUAL MEPs (not party-affiliated) ---
# Official NI count per EP API is ~30
Various,Individual Non-Inscrits,Ind-NI,NI,,0,Counted in country-specific NI entries above
